prime,i,j,sign,bit width,mod add/sub
4093,12,1,-1,12,3
4091,12,2,-1,12,3
4093,12,2,1,12,4
4079,12,4,-1,12,3
3967,12,7,-1,12,4
3583,12,9,-1,12,4
8191,13,1,1,13,4
8161,13,5,1,13,4
7937,13,8,1,13,6
7681,13,9,1,13,8
6143,13,11,-1,13,8
16381,14,1,-1,14,3
16381,14,2,1,14,4
16369,14,4,1,14,4
16319,14,6,-1,14,3
16127,14,8,-1,14,4
15359,14,10,-1,14,5
15361,14,10,1,14,8
12289,14,12,1,14,13
8191,14,13,-1,13,14
32257,15,9,1,15,6
65519,16,4,-1,16,3
65521,16,4,1,16,4
65407,16,7,-1,16,3
64513,16,10,1,16,6
63487,16,11,-1,16,5
61441,16,12,1,16,7
131071,17,1,1,17,4
131063,17,3,-1,17,3
131041,17,5,1,17,4
131009,17,6,1,17,4
130817,17,8,1,17,4
129023,17,11,-1,17,4
114689,17,14,1,17,12
65537,17,16,1,17,33
262139,18,2,-1,18,3
262127,18,4,-1,18,3
262111,18,5,-1,18,3
262079,18,6,-1,18,3
261887,18,8,-1,18,3
261631,18,9,-1,18,2
253951,18,13,-1,18,5
245759,18,14,-1,18,6
131071,18,17,-1,17,18
524287,19,1,1,19,4
524257,19,5,1,19,4
523777,19,9,1,19,4
522239,19,11,-1,19,4
520193,19,12,1,19,6
1048573,20,1,-1,20,3
1048571,20,2,-1,20,3
1048573,20,2,1,20,4
1048559,20,4,-1,20,3
1048447,20,7,-1,20,3
1048063,20,9,-1,20,3
1047551,20,10,-1,20,2
1046527,20,11,-1,20,4
1044479,20,12,-1,20,4
1032191,20,14,-1,20,5
1032193,20,14,1,20,8
917503,20,17,-1,20,8
786431,20,18,-1,20,10
786433,20,18,1,20,19
524287,20,19,-1,19,20
2097143,21,3,-1,21,3
2097023,21,7,-1,21,3
2096639,21,9,-1,21,3
1966079,21,17,-1,21,7
4194301,22,1,-1,22,3
4194301,22,2,1,22,4
4194287,22,4,-1,22,3
4194271,22,5,-1,22,3
4193279,22,10,-1,22,3
4128767,22,16,-1,22,5
8388593,23,4,1,23,4
8380417,23,13,1,23,6
8257537,23,17,1,23,8
7340033,23,20,1,23,16
16777213,24,1,-1,24,3
16777213,24,2,1,24,4
16777199,24,4,-1,24,3
16777183,24,5,-1,24,3
16777153,24,6,1,24,4
16776961,24,8,1,24,4
16776191,24,10,-1,24,3
16769023,24,13,-1,24,4
16760833,24,14,1,24,6
16744447,24,15,-1,24,4
16515073,24,18,1,24,7
14680063,24,21,-1,24,8
33550337,25,12,1,25,4
33546239,25,13,-1,25,4
33538049,25,14,1,25,6
33292289,25,18,1,25,8
67108859,26,2,-1,26,3
67108351,26,9,-1,26,3
67104769,26,12,1,26,4
67043329,26,16,1,26,6
134215681,27,11,1,27,4
132120577,27,21,1,27,10
268369921,28,16,1,28,6
260046847,28,23,-1,28,7
536870909,29,1,-1,29,3
536870909,29,2,1,29,4
536870879,29,5,-1,29,3
536870849,29,6,1,29,4
536870657,29,8,1,29,4
536870401,29,9,1,29,4
536868863,29,11,-1,29,3
536862719,29,13,-1,29,3
536739839,29,17,-1,29,4
536608769,29,18,1,29,6
469762049,29,26,1,29,20
1073741567,30,8,-1,30,3
1073741311,30,9,-1,30,3
1073676287,30,16,-1,30,4
1073479679,30,18,-1,30,4
1073479681,30,18,1,30,6
2147483647,31,1,1,31,4
2147483137,31,9,1,31,4
2147352577,31,17,1,31,6
2146959361,31,19,1,31,6
2130706433,31,24,1,31,10
2113929217,31,25,1,31,12
2013265921,31,27,1,31,16
4294967291,32,2,-1,32,3
4294967279,32,4,-1,32,3
4294967231,32,6,-1,32,3
4293918721,32,20,1,32,6
4286578687,32,23,-1,32,5
4278190079,32,24,-1,32,4
4261412863,32,25,-1,32,6
3758096383,32,29,-1,32,12
3221225473,32,30,1,32,31
2147483647,32,31,-1,31,32
8589934583,33,3,-1,33,3
8589901823,33,15,-1,33,3
8589410303,33,19,-1,33,4
8588886017,33,20,1,33,6
8587837439,33,21,-1,33,4
8581545983,33,23,-1,33,5
17175674881,34,22,1,34,6
16911433727,34,28,-1,34,7
34359738337,35,5,1,35,4
34359214081,35,19,1,35,6
32212254719,35,31,-1,35,10
68719476731,36,2,-1,36,3
68719476719,36,4,-1,36,3
68719476671,36,6,-1,36,3
68719476479,36,8,-1,36,3
68719472639,36,12,-1,36,3
68719411199,36,16,-1,36,3
68719214591,36,18,-1,36,2
68718952447,36,19,-1,36,4
68718428161,36,20,1,36,6
51539607551,36,34,-1,36,18
137438953441,37,5,1,37,4
137438822401,37,17,1,37,4
137438691329,37,18,1,37,4
137405399041,37,25,1,37,8
274877906687,38,8,-1,38,3
274877906431,38,9,-1,38,3
274877905921,38,10,1,38,4
274877902847,38,12,-1,38,3
274876858367,38,20,-1,38,4
274810798081,38,26,1,38,8
270582939647,38,32,-1,38,8
266287972351,38,33,-1,38,9
206158430209,38,36,1,38,37
549755813881,39,3,1,39,4
549755809793,39,12,1,39,4
549753716737,39,21,1,39,6
549747425281,39,23,1,39,6
1099511562239,40,16,-1,40,3
1099511496703,40,17,-1,40,3
1099511103487,40,19,-1,40,3
1099503239167,40,23,-1,40,4
1097364144127,40,31,-1,40,6
1095216660481,40,32,1,40,9
1065151889407,40,35,-1,40,8
824633720831,40,38,-1,40,20
2199023255521,41,5,1,41,4
2199023255489,41,6,1,41,4
2199023254529,41,10,1,41,4
2199023251457,41,12,1,41,4
2199023190017,41,16,1,41,4
2198486384641,41,29,1,41,8
2196875771903,41,31,-1,41,6
2061584302081,41,37,1,41,22
4398046511087,42,4,-1,42,3
4398046511071,42,5,-1,42,3
4398046511039,42,6,-1,42,3
4398046445567,42,16,-1,42,3
4398042316799,42,22,-1,42,4
4393751543809,42,32,1,42,10
4260607557631,42,37,-1,42,10
4123168604161,42,38,1,42,22
8796093021953,43,8,1,43,4
8795824586753,43,28,1,43,6
8787503087617,43,33,1,43,10
8658654068737,43,37,1,43,16
6597069766657,43,41,1,43,44
17592186044399,44,4,-1,44,3
17592186044287,44,7,-1,44,3
17592186042367,44,11,-1,44,3
17592186028033,44,14,1,44,4
17591917608961,44,28,1,44,6
17591112302591,44,30,-1,44,5
17523466567681,44,36,1,44,12
17317308137473,44,38,1,44,16
35184372088319,45,9,-1,45,3
35184372088321,45,9,1,45,4
35184371564543,45,19,-1,45,3
35183835217919,45,29,-1,45,4
35150012350463,45,35,-1,45,6
34634616274943,45,39,-1,45,9
32985348833279,45,41,-1,45,13
26388279066623,45,43,-1,45,24
70368744177601,46,6,1,46,4
70368744161279,46,14,-1,46,3
70368744046591,46,17,-1,46,3
70093866270721,46,38,1,46,12
140737488355201,47,7,1,47,4
140737487306753,47,20,1,47,4
140737471578113,47,24,1,47,6
140737454800897,47,25,1,47,6
140735340871679,47,31,-1,47,4
281474976710591,48,6,-1,48,3
281474976710399,48,8,-1,48,3
281474976710143,48,9,-1,48,3
281474976694273,48,14,1,48,4
281474976645119,48,16,-1,48,3
281474975662081,48,20,1,48,4
281474439839743,48,29,-1,48,4
281466386776063,48,33,-1,48,5
281406257233919,48,36,-1,48,4
281200098803711,48,38,-1,48,6
280375465082879,48,40,-1,48,6
263882790666241,48,44,1,48,23
246290604621823,48,45,-1,48,16
562949953290239,49,17,-1,49,3
562948879679489,49,30,1,49,6
562947805937663,49,31,-1,49,4
562941363486721,49,33,1,49,8
562932773552129,49,34,1,49,8
560750930165759,49,41,-1,49,8
560750930165761,49,41,1,49,14
1125899906826241,50,14,1,50,4
1125899839733759,50,26,-1,50,4
1125831187365887,50,36,-1,50,5
1125762467889151,50,37,-1,50,5
1125625028935681,50,38,1,50,10
1108307720798209,50,44,1,50,18
2251799813685119,51,7,-1,51,3
2251799813684737,51,9,1,51,4
2251799813554177,51,17,1,51,4
4503599627366401,52,12,1,52,4
4503599626846207,52,19,-1,52,3
4503599626321921,52,20,1,52,4
4362862139015167,52,47,-1,52,12
4222124650659841,52,48,1,52,25
9007199254740481,53,9,1,53,4
9007182074871809,53,34,1,53,6
9005000231485439,53,41,-1,53,6
7881299347898369,53,50,1,53,36
18014398509481951,54,5,-1,54,3
18014398509481727,54,8,-1,54,3
18014398509481729,54,8,1,54,4
18014398492704769,54,24,1,54,4
18014398241046527,54,28,-1,54,4
18014397435740161,54,30,1,54,6
18014329790005247,54,36,-1,54,3
18014123631575041,54,38,1,54,8
18012199486226431,54,41,-1,54,6
17996806323437567,54,44,-1,54,7
36028797018963841,55,7,1,55,4
36028797018963457,55,9,1,55,4
36028796482093057,55,29,1,55,6
31525197391593473,55,52,1,55,38
72057594037927931,56,2,-1,56,3
72057594037911551,56,14,-1,56,3
72057594036879361,56,20,1,56,4
72057594021150721,56,24,1,56,4
72057593970819071,56,26,-1,56,3
72057589742960641,56,32,1,56,6
72053195991416831,56,42,-1,56,4
144115188075847679,57,13,-1,57,3
144115188075593729,57,18,1,57,4
144115188042301439,57,25,-1,57,3
144114913197948929,57,38,1,57,5
108086391056891903,57,55,-1,57,30
288230376151711681,58,6,1,58,4
288230358971842561,58,34,1,58,6
576460752303421441,59,11,1,59,4
576460752303419393,59,12,1,59,4
576460752303415297,59,13,1,59,4
576460752169205759,59,27,-1,59,3
576460752034988033,59,28,1,59,4
576460717943685121,59,35,1,59,6
576425567931334657,59,45,1,59,10
576179277326712833,59,48,1,59,12
1152921504606846719,60,8,-1,60,3
1152921504606830593,60,14,1,60,4
1152921504606584831,60,18,-1,60,3
1152921504606584833,60,18,1,60,4
1152921504606322687,60,19,-1,60,3
1152921504539738111,60,26,-1,60,3
1152921504338411519,60,28,-1,60,3
1152921496016912383,60,33,-1,60,4
1152920954851033087,60,39,-1,60,4
1152917106560335871,60,42,-1,60,5
2305843009213693951,61,1,1,61,4
2305843009213693921,61,5,1,61,4
2305843009213562879,61,17,-1,61,3
2305843009213169663,61,19,-1,61,3
2305843009211596801,61,21,1,61,4
2305843009196916737,61,24,1,61,4
2305843009146585089,61,26,1,61,4
2305834213120671743,61,43,-1,61,5
2287828610704211969,61,54,1,61,18
4611686018427322369,62,16,1,62,4
4611686017353646079,62,30,-1,62,3
4611683819404132351,62,41,-1,62,4
4611650834055299071,62,45,-1,62,5
4611615649683210241,62,46,1,62,8
2305843009213693951,62,61,-1,61,62
9223369837831520257,63,41,1,63,6
9223336852482686977,63,45,1,63,8
18446744073709551359,64,8,-1,64,3
18446744073709550591,64,10,-1,64,3
18446744073709550593,64,10,1,64,4
18446744073709547521,64,12,1,64,4
18446744073692774401,64,24,1,64,4
18446744073172680703,64,29,-1,64,3
18446744069414584321,64,32,1,64,3
18446744056529682433,64,34,1,64,6
18446742974197923841,64,40,1,64,6
